StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Online Classes Taken
9976.0,Jason Ramirez,0,78.0,17.0,77.0,2,0,85.0,False
4919.0,Gail Dudley,0,85.0,20.0,82.0,3,2,90.0,True
3267.0,John West,1,92.0,8.0,65.0,3,0,62.0,False
7812.0,Patricia Carr,1,92.0,8.0,60.0,3,1,80.0,False
8814.0,David Nunez,1,95.0,18.0,60.0,0,1,72.0,False
4595.0,Collin Peterson,0,70.0,17.0,78.0,0,2,62.0,True
9751.0,Rebecca Smith,1,70.0,22.0,86.0,1,0,62.0,True
1823.0,Lisa Benjamin,0,70.0,30.0,90.0,1,2,90.0,False
7906.0,Desiree Reyes,0,90.0,17.0,78.0,2,0,90.0,True
1508.0,Megan Diaz,1,92.0,15.0,86.0,0,0,68.0,True
8619.0,Joseph Adams,0,95.0,10.0,86.0,3,1,87.0,False
2771.0,Sharon Watson,1,88.0,22.0,60.0,0,1,92.0,True
2669.0,Tiffany Smith,0,91.0,20.0,86.0,1,2,72.0,True
9289.0,Alexander Preston,0,85.0,8.0,77.0,2,2,90.0,True
8135.0,Randall Hickman,1,82.0,18.0,86.0,2,2,78.0,False
6280.0,David Hernandez,1,90.0,18.0,77.0,3,2,88.0,False
1470.0,Michelle Jones,0,95.0,10.0,77.0,3,2,85.0,False
1166.0,Tonya Gonzalez,1,90.0,25.0,60.0,1,1,92.0,False
8342.0,Sarah Johnson,1,90.0,18.0,90.0,0,1,92.0,False
8753.0,Grace Valencia,0,70.0,12.0,88.0,1,1,78.0,True
2976.0,Sarah Young,1,95.0,20.0,70.0,0,0,92.0,False
2647.0,Gerald Weber,1,88.0,25.0,88.0,1,2,80.0,False
1745.0,Gregory Turner,1,82.0,18.0,78.0,1,0,80.0,False
8216.0,Laura Cortez,0,78.0,15.0,82.0,1,0,87.0,True
3485.0,Lori Miller,1,91.0,18.0,85.0,3,0,72.0,True
9561.0,Lori Gomez PhD,0,85.0,17.0,82.0,3,2,85.0,True
4404.0,Dawn Foster,1,88.0,20.0,65.0,1,0,72.0,False
8381.0,Peter Welch,0,88.0,15.0,90.0,2,1,80.0,True
4824.0,Maria Carter,0,91.0,25.0,60.0,2,1,92.0,True
2169.0,Daniel Hood,1,78.0,18.0,86.0,3,2,78.0,False
7594.0,Amanda Hernandez,0,82.0,12.0,77.0,1,0,88.0,False
5102.0,Alyssa Schmidt,1,90.0,25.0,86.0,3,0,85.0,True
8708.0,Taylor Merritt DVM,0,88.0,10.0,86.0,0,1,78.0,False
7690.0,Alyssa Smith,1,95.0,20.0,65.0,1,2,78.0,True
8451.0,Nathan Navarro,1,95.0,18.0,88.0,2,2,72.0,False
7770.0,Lisa Zimmerman,1,92.0,12.0,88.0,3,2,78.0,False
9998.0,Jeffrey Howard,1,88.0,17.0,77.0,2,0,88.0,True
6091.0,Morgan Bell,1,82.0,18.0,85.0,1,0,78.0,True
9165.0,Angelica Steele,0,82.0,18.0,60.0,1,2,92.0,False
4122.0,Gregory Daniels,1,90.0,18.0,60.0,1,1,85.0,False
9022.0,Eric Davis,1,85.0,12.0,77.0,1,2,72.0,False
5396.5,Natalie Kelley,1,92.0,22.0,60.0,3,2,80.0,False
7325.0,Ruth Davis,1,85.0,15.0,65.0,2,1,90.0,True
9617.0,Emily Torres,1,85.0,18.0,60.0,0,0,78.0,False
7512.0,Nancy Davis,1,95.0,12.0,60.0,1,1,78.0,True
4846.0,Amanda Bowers,0,92.0,20.0,60.0,1,1,87.0,False
1474.0,Alison Lang,1,95.0,15.0,82.0,1,2,62.0,False
3950.0,Matthew Massey,1,78.0,20.0,86.0,1,1,92.0,True
4804.0,James Anderson,1,88.0,17.0,82.0,1,2,85.0,True
8237.0,Robert Howard,0,91.0,18.0,60.0,2,2,85.0,False
2747.0,Rebecca Brown,1,70.0,22.0,88.0,3,2,85.0,False
5497.0,Kimberly Harrison,1,91.0,15.0,86.0,1,2,92.0,True
4115.0,Derek Parks,0,78.0,20.0,78.0,2,2,80.0,True
2476.0,Jennifer Baker,0,95.0,8.0,65.0,3,0,72.0,False
3695.0,Diana Schultz,0,85.0,18.0,88.0,2,2,87.0,False
6992.0,Mrs. Jill Long,1,70.0,15.0,82.0,1,0,78.0,False
7242.0,Heather Johnson,0,90.0,25.0,77.0,1,1,72.0,True
2035.0,Robert Lowery,0,88.0,8.0,85.0,0,0,80.0,True
2592.0,Andrea Frey,1,82.0,10.0,60.0,1,2,72.0,True
7797.0,Angela Williams,1,85.0,22.0,60.0,2,0,80.0,True
6942.0,Brent Burns,1,95.0,12.0,88.0,1,2,85.0,False
2501.0,Melissa Barber,1,91.0,15.0,78.0,1,0,68.0,True
4394.0,John Warner,1,92.0,30.0,65.0,3,0,80.0,True
9850.0,Christopher Baxter,0,78.0,18.0,78.0,0,0,90.0,False
1258.0,Courtney Haas,1,88.0,15.0,65.0,0,1,87.0,False
6931.0,Sarah Ross,1,85.0,12.0,90.0,3,0,72.0,True
1996.0,Manuel Baker,0,70.0,8.0,85.0,1,1,80.0,False
3430.0,Jessica Lamb,1,78.0,18.0,86.0,1,1,90.0,False
8433.0,Jaime Nguyen,0,90.0,20.0,70.0,3,2,78.0,False
5396.5,Tina Chavez,1,70.0,20.0,88.0,0,2,85.0,False
2099.0,Christina Thompson,1,90.0,20.0,60.0,2,1,90.0,True
6400.0,Shari Harrell,1,70.0,18.0,60.0,1,2,88.0,True
3535.0,Tracy Gibbs,0,92.0,20.0,88.0,2,2,87.0,True
8030.0,David Hoffman,1,91.0,18.0,78.0,0,2,85.0,True
3972.0,Robert Davis,1,91.0,8.0,85.0,0,1,80.0,True
7163.0,Patricia Greer,0,85.0,30.0,78.0,1,2,90.0,True
1861.0,James Stewart,1,78.0,22.0,78.0,2,2,78.0,False
7785.0,Brent Mendoza,0,92.0,12.0,85.0,1,2,87.0,False
9633.0,Dawn Taylor,0,85.0,25.0,60.0,3,0,80.0,True
5186.0,Larry Brown,0,95.0,20.0,78.0,1,1,62.0,True
9196.0,Miss Teresa Hernandez MD,0,90.0,8.0,78.0,0,0,78.0,False
7626.0,Edward Baker,0,88.0,20.0,60.0,1,2,68.0,False
6928.0,Diana Gould,1,70.0,20.0,90.0,0,1,62.0,False
6562.0,Amy Rodriguez,1,95.0,10.0,85.0,2,1,80.0,False
6752.0,Paul Hull,1,92.0,20.0,65.0,2,0,68.0,True
3902.0,Allison Hamilton,0,85.0,22.0,86.0,1,1,88.0,False
6179.0,John King,1,85.0,20.0,77.0,1,1,85.0,True
6766.0,Tristan Avila,1,88.0,17.0,77.0,1,0,90.0,True
9307.0,Connie Cooper,0,85.0,22.0,70.0,1,2,88.0,False
9214.0,Judith Santos,1,85.0,17.0,85.0,1,1,87.0,True
5059.0,Michaela Powell,0,85.0,12.0,70.0,3,0,90.0,False
7697.0,Lawrence Roberts,0,91.0,15.0,88.0,2,2,87.0,False
5128.0,Nicholas Robinson DDS,1,95.0,20.0,86.0,0,2,85.0,False
3112.0,Jill Smith,1,88.0,12.0,60.0,1,0,72.0,False
9331.0,Michael Burns,0,85.0,30.0,82.0,0,0,90.0,True
4711.0,Adam Weaver,1,78.0,20.0,82.0,2,1,72.0,True
6517.0,Melvin Mcgee,1,91.0,8.0,65.0,0,0,88.0,False
1715.0,William Banks,0,95.0,25.0,77.0,3,2,78.0,False
8684.0,Dawn Morton,1,95.0,22.0,78.0,1,2,80.0,True
4271.0,Frank Dawson,1,88.0,15.0,77.0,1,1,87.0,True
5670.0,Gregory Davila,1,78.0,18.0,77.0,2,0,62.0,False
6727.0,Rebekah Finley,1,70.0,15.0,60.0,2,2,92.0,False
4678.0,Robert Martinez,1,95.0,20.0,88.0,0,0,80.0,True
8685.0,Steven Crawford,0,91.0,15.0,85.0,1,2,92.0,False
2821.0,Leslie King,0,92.0,18.0,85.0,1,0,80.0,False
2029.0,George Cannon,1,85.0,22.0,70.0,1,1,72.0,True
5772.0,Adam Carlson,0,85.0,22.0,88.0,3,0,62.0,True
9576.0,Stephanie Lawrence,0,90.0,12.0,70.0,2,1,72.0,True
7338.0,Andrea Frey,0,88.0,15.0,88.0,2,2,92.0,True
6447.0,Adam Blackwell,1,85.0,30.0,70.0,1,1,68.0,False
8840.0,Andrew Owens,1,78.0,20.0,77.0,1,2,92.0,True
6170.0,John Sexton,0,82.0,8.0,70.0,1,2,80.0,False
5396.5,Jasmine Williams,1,95.0,18.0,85.0,1,2,62.0,False
4060.0,Leon Nguyen,0,85.0,30.0,70.0,2,0,62.0,True
9937.0,John White,0,95.0,20.0,85.0,1,1,85.0,False
3730.0,Justin Martinez,0,95.0,17.0,78.0,1,1,62.0,True
2229.0,Nathaniel Kemp,0,88.0,12.0,65.0,1,0,88.0,True
3068.0,Jacob Murray,1,92.0,30.0,88.0,0,1,80.0,False
7077.0,Anthony Green,0,85.0,20.0,86.0,0,1,90.0,False
5089.0,Trevor Freeman,1,85.0,18.0,77.0,2,2,72.0,False
8311.0,Michael Smith,1,91.0,18.0,77.0,3,0,68.0,True
8292.0,William Hogan,1,95.0,30.0,85.0,2,1,85.0,True
6922.0,Andrea Frey,1,90.0,25.0,65.0,3,2,80.0,False
8657.0,Andrea Frey,1,91.0,20.0,85.0,2,2,78.0,False
2208.0,Joshua Juarez,1,95.0,20.0,77.0,1,0,72.0,True
3114.0,Keith Wu,0,82.0,15.0,85.0,2,0,85.0,True
6669.0,Ryan Williams,0,90.0,18.0,90.0,1,0,68.0,True
9234.0,Ronald Stewart,1,91.0,22.0,65.0,0,1,88.0,False
1674.0,Ronald Schmidt,1,90.0,15.0,86.0,2,1,92.0,True
9159.0,Courtney Bradley,0,88.0,17.0,90.0,0,2,78.0,True
8202.0,Deanna Gonzalez,0,85.0,17.0,90.0,1,1,68.0,False
6658.0,Darrell Adams,0,78.0,30.0,70.0,2,0,90.0,False
8366.0,Michael Mata,1,78.0,20.0,78.0,2,2,88.0,True
6123.0,Anthony Dunn,1,78.0,17.0,78.0,1,2,85.0,False
5396.5,Jonathan Hodges,0,92.0,25.0,86.0,1,0,80.0,False
5681.0,Jill Williams,1,90.0,8.0,65.0,2,1,90.0,True
7563.0,Julia Russell,1,91.0,12.0,90.0,1,1,85.0,False
5396.5,Shirley Jackson,1,78.0,20.0,60.0,1,2,72.0,True
4261.0,Tonya Thompson,0,82.0,15.0,78.0,1,0,90.0,False
3440.0,Brandon Williamson,1,95.0,18.0,88.0,0,2,80.0,False
9311.0,Joseph Davis,0,91.0,18.0,78.0,1,2,90.0,False
1436.0,Elizabeth Andersen,0,88.0,22.0,86.0,3,1,80.0,False
3421.0,Jeffrey Meyers,1,85.0,22.0,85.0,3,0,78.0,False
4340.0,Christopher Jones,0,82.0,22.0,77.0,1,1,68.0,False
8837.0,Aimee Rogers,0,95.0,10.0,77.0,2,2,72.0,False
8932.0,Alexis Bates,1,92.0,18.0,70.0,2,0,85.0,True
9011.0,Michael Evans,0,85.0,30.0,70.0,2,2,87.0,False
7464.0,Omar Gonzalez,0,78.0,18.0,78.0,2,1,87.0,False
8849.0,Melissa Perry,1,92.0,12.0,82.0,2,1,85.0,True
4972.0,Dawn Torres,1,82.0,25.0,90.0,1,0,62.0,True
3252.0,Timothy Dean,1,82.0,18.0,60.0,1,2,92.0,False
5676.0,Anna Rollins MD,1,90.0,22.0,90.0,2,1,80.0,False
3880.0,Timothy Barrera,1,70.0,17.0,65.0,2,0,80.0,True
6489.0,Susan Morris,0,85.0,12.0,70.0,1,0,72.0,True
6417.0,Gordon Merritt,1,85.0,18.0,65.0,1,1,90.0,True
3875.0,Kristy Rhodes,0,70.0,12.0,88.0,2,2,87.0,False
5396.5,Kristi Cross,1,85.0,18.0,60.0,3,2,85.0,True
5285.0,Ms. Marissa Ramirez,0,92.0,15.0,85.0,1,0,68.0,False
2923.0,Paul Hickman,1,95.0,22.0,90.0,3,0,78.0,False
7813.0,Mrs. Kathy Woodward,0,82.0,25.0,90.0,3,0,72.0,False
2279.0,Alexis Horn,1,85.0,12.0,70.0,3,1,72.0,False
2904.0,Shannon Harris DDS,1,91.0,17.0,85.0,2,2,80.0,False
8484.0,Alicia Ortiz,1,82.0,17.0,82.0,1,2,85.0,True
5396.5,Steven Wood,1,70.0,30.0,85.0,2,0,80.0,True
5703.0,Alexis Walton,0,78.0,10.0,60.0,1,2,80.0,False
5396.5,Martin Mcknight,1,95.0,20.0,65.0,2,2,72.0,True
1372.0,Gina Palmer,0,85.0,12.0,60.0,2,2,92.0,True
5516.0,Jean Moreno,1,90.0,15.0,60.0,3,0,80.0,True
8314.0,David Anderson,1,92.0,15.0,60.0,1,0,72.0,True
3295.0,Brian Huffman,0,92.0,22.0,78.0,3,1,90.0,True
7775.0,Jose Liu,1,88.0,15.0,70.0,3,1,68.0,False
1768.0,Cathy Pratt,0,88.0,12.0,88.0,0,2,68.0,False
4948.0,Kathy Sandoval,1,88.0,10.0,77.0,1,1,62.0,True
7363.0,Michael Webb,1,88.0,25.0,88.0,2,2,90.0,True
1844.0,Ronnie Taylor,0,70.0,22.0,86.0,1,0,92.0,True
8854.0,Matthew Miller,1,95.0,18.0,78.0,3,0,87.0,False
4974.0,Shelly Hurley,1,70.0,25.0,70.0,1,2,62.0,False
6053.0,Mr. Martin Dominguez MD,0,95.0,12.0,77.0,1,0,78.0,True
7073.0,Jennifer Wiggins,0,70.0,18.0,86.0,3,1,68.0,False
5836.0,Anthony Smith,1,92.0,30.0,90.0,0,1,92.0,False
5216.0,John Lopez,0,85.0,17.0,65.0,1,0,68.0,True
9882.0,Nathan Rodgers,1,82.0,15.0,85.0,1,0,62.0,True
2113.0,Martin Walker,1,85.0,25.0,70.0,1,2,80.0,False
8993.0,Jesus Wood,1,85.0,12.0,70.0,0,0,80.0,False
1280.0,Kelly Bell,0,78.0,20.0,85.0,2,0,92.0,False
6807.0,Kathryn Randall,0,70.0,20.0,88.0,0,2,88.0,True
5914.0,Sarah Norris,1,85.0,20.0,60.0,0,2,72.0,True
3807.0,Matthew Adams,1,85.0,8.0,78.0,3,0,72.0,True
8790.0,William Wade,0,85.0,20.0,82.0,2,1,80.0,True
4394.0,Brian Castro,1,88.0,18.0,82.0,0,1,92.0,False
7288.0,Teresa Sanders,1,90.0,12.0,88.0,1,0,62.0,False
7499.0,Richard Oneal,0,85.0,18.0,77.0,1,0,90.0,False
4043.0,Christine Cooper,0,90.0,22.0,82.0,3,1,87.0,False
3527.0,Michael Foster,0,95.0,30.0,78.0,2,0,85.0,False
2674.0,Loretta Gonzalez,1,90.0,10.0,60.0,1,1,72.0,True
2468.0,Douglas Ingram,0,82.0,20.0,86.0,3,2,62.0,False
2387.0,Randy Anderson,1,91.0,12.0,65.0,0,0,68.0,False
3390.0,Donna Shaw,1,78.0,8.0,82.0,0,2,78.0,False
5040.0,Joseph Holt,0,91.0,22.0,90.0,1,0,68.0,False
7224.0,Taylor Acosta,0,85.0,30.0,60.0,3,0,85.0,True
8848.0,Danielle Scott,0,78.0,8.0,88.0,2,1,78.0,True
6339.0,Melissa Aguirre,0,88.0,8.0,88.0,2,1,92.0,True
1440.0,Cassandra Snyder,0,92.0,17.0,82.0,2,2,80.0,True
5139.0,Kimberly Lambert,1,70.0,8.0,85.0,1,1,78.0,False
9907.0,Rebecca Mendoza DDS,1,95.0,12.0,86.0,2,0,92.0,True
1725.0,Michael Anderson,0,95.0,8.0,85.0,1,0,85.0,True
8303.0,Hannah Gentry,0,70.0,17.0,86.0,2,0,90.0,True
5840.0,Patrick Reed,0,90.0,20.0,65.0,1,2,90.0,False
6706.0,Tiffany Huff,0,90.0,18.0,77.0,1,0,85.0,True
1370.0,Thomas Lee,0,90.0,10.0,90.0,2,0,72.0,False
8570.0,Justin Clark,1,70.0,10.0,65.0,1,2,80.0,False
8037.0,Michael Martinez,0,85.0,25.0,90.0,2,1,87.0,True
6993.0,Vincent Smith,0,88.0,17.0,85.0,2,1,78.0,False
7367.0,Sean Hull,0,91.0,20.0,88.0,1,2,88.0,False
2388.0,Sarah Welch,1,95.0,20.0,90.0,2,0,68.0,False
7852.0,Mr. Stephen Gilmore,1,91.0,8.0,60.0,0,2,72.0,True
3733.0,Barry Parker,0,88.0,10.0,65.0,1,2,88.0,True
8939.0,Joshua Kane,1,92.0,8.0,70.0,2,1,78.0,False
8272.0,Anthony Wright,0,78.0,20.0,86.0,1,0,85.0,False
3755.0,Nathaniel Lopez,0,91.0,17.0,70.0,2,0,88.0,False
9880.0,Darlene Fletcher,1,85.0,12.0,90.0,0,0,92.0,False
5305.0,Christopher Moore,0,90.0,17.0,85.0,3,0,88.0,False
3719.0,Benjamin White,1,92.0,25.0,78.0,3,2,72.0,True
6302.0,Jenny Coleman,0,88.0,22.0,82.0,1,1,87.0,False
1971.0,Michael Gomez,0,78.0,10.0,90.0,0,1,90.0,False
9019.0,Caleb Serrano,1,91.0,18.0,60.0,0,2,87.0,True
7600.0,William Carlson,0,95.0,17.0,77.0,1,1,80.0,True
8511.0,Timothy Pruitt,0,90.0,12.0,60.0,3,2,92.0,False
6533.0,Mario Johnston,1,91.0,17.0,88.0,1,0,87.0,True
3035.0,Rebecca Kim,1,85.0,17.0,78.0,0,0,68.0,True
5489.0,Joyce Williams,1,95.0,18.0,85.0,1,1,68.0,False
4836.0,Cynthia Sloan,0,90.0,20.0,78.0,1,2,87.0,False
1152.0,Andrea Frey,1,88.0,20.0,60.0,0,2,87.0,True
2690.0,Andrea Frey,0,95.0,18.0,65.0,0,0,68.0,True
3688.0,Patricia Williams,0,95.0,25.0,65.0,0,1,78.0,True
3293.0,Michael Payne,1,91.0,8.0,88.0,0,2,68.0,True
5065.0,Brooke Friedman,0,85.0,18.0,90.0,2,1,72.0,False
1894.0,Daniel Mathis,1,85.0,8.0,85.0,3,2,88.0,False
6185.0,Lynn Jennings,1,70.0,22.0,60.0,1,1,68.0,True
1273.0,Kimberly Randolph,1,85.0,18.0,90.0,1,0,62.0,False
7939.0,Jack Simmons,0,90.0,12.0,70.0,3,0,85.0,True
3545.0,Daniel Mendez,0,70.0,22.0,85.0,2,1,62.0,True
5005.0,Travis Lawson,1,70.0,20.0,77.0,3,1,80.0,True
2956.0,Jason Horne DDS,1,78.0,15.0,65.0,1,2,72.0,False
3735.0,Shawn Galloway,0,78.0,18.0,85.0,1,2,62.0,False
2262.0,Thomas Barnes,0,85.0,12.0,88.0,1,2,88.0,False
2685.0,Elizabeth Curry,1,92.0,12.0,78.0,1,0,92.0,False
3458.0,Nicole Cunningham,1,85.0,12.0,60.0,3,0,92.0,False
5444.0,Patrick Thompson,1,91.0,30.0,85.0,2,1,80.0,True
7568.0,Marissa Stewart,1,85.0,18.0,82.0,1,0,72.0,True
5777.0,Melissa Wilson,0,91.0,25.0,77.0,1,1,78.0,True
5396.5,Jaime Glenn,1,78.0,15.0,60.0,1,0,72.0,True
6488.0,Mark Castillo,1,70.0,18.0,85.0,3,1,92.0,True
5584.0,Mr. Kent Stanton,1,85.0,25.0,70.0,0,1,90.0,True
2565.0,Tyrone Phillips,1,70.0,20.0,86.0,3,0,62.0,True
5778.0,Christopher Collins,0,95.0,8.0,88.0,1,2,85.0,True
5396.5,David Rowe,1,88.0,10.0,77.0,1,2,62.0,True
8404.0,Christopher Mccullough,0,85.0,18.0,85.0,2,0,85.0,True
4522.0,Carla Rodriguez,0,78.0,20.0,90.0,1,2,72.0,False
3848.0,Makayla Howard,1,70.0,17.0,70.0,2,0,87.0,True
2989.0,Barbara White,1,85.0,25.0,65.0,3,2,90.0,True
5240.0,Sarah Davis,1,85.0,20.0,90.0,1,0,87.0,True
1699.0,Cody Donovan,0,85.0,10.0,86.0,0,1,62.0,False
3831.0,Jessica Jenkins,0,92.0,10.0,82.0,2,0,68.0,True
5835.0,Benjamin Alexander,0,70.0,12.0,77.0,1,0,85.0,True
9614.0,Isaac Lopez,1,82.0,15.0,60.0,1,2,72.0,False
7363.0,Ariana Morse,0,78.0,15.0,88.0,3,0,80.0,False
1959.0,Brian Avery,0,88.0,18.0,86.0,3,0,87.0,False
9743.0,Amy Lawson,1,92.0,22.0,60.0,1,0,68.0,False
1462.0,Derek Choi,0,91.0,22.0,65.0,3,0,78.0,False
1621.0,Paul Reese,1,85.0,25.0,86.0,3,0,72.0,True
3137.0,Francisco Chang,0,78.0,30.0,78.0,1,0,88.0,True
9622.0,Christian Knight,0,90.0,18.0,60.0,3,0,90.0,True
8157.0,Andrew Wilkerson,0,95.0,10.0,70.0,3,2,92.0,False
6026.0,Brandon Alvarez,0,78.0,10.0,78.0,3,2,88.0,False
4619.0,Gary Young,1,85.0,10.0,88.0,2,0,90.0,True
6500.0,Jessica Wright,0,85.0,18.0,90.0,3,1,87.0,True
1020.0,Timothy Clements,1,70.0,17.0,60.0,0,2,80.0,False
2661.0,Alexander Gordon DDS,0,91.0,25.0,65.0,1,0,80.0,False
2715.0,James Martinez,1,95.0,10.0,60.0,0,1,87.0,False
8909.0,Francisco Williams,1,70.0,10.0,86.0,0,0,80.0,True
7705.0,Jordan Brooks,0,88.0,18.0,90.0,2,0,62.0,True
1893.0,Kurt Boyd,0,85.0,8.0,85.0,2,1,88.0,True
4390.0,Bryan Salazar,1,88.0,20.0,77.0,2,2,62.0,False
2493.0,Mrs. Heather Roy,0,78.0,30.0,60.0,1,0,78.0,False
5315.0,Andrea Frey,1,88.0,22.0,78.0,0,1,87.0,False
4727.0,Kathleen Newton,1,70.0,12.0,60.0,2,1,78.0,False
5896.0,Julian Fox,1,70.0,15.0,70.0,3,1,88.0,True
2970.0,Kylie Hancock,0,78.0,10.0,90.0,3,0,80.0,False
4308.0,Matthew Werner,1,91.0,18.0,88.0,2,0,62.0,False
5525.0,Kelsey Bush,0,85.0,22.0,86.0,2,2,87.0,True
2730.0,Brandon Dickerson,1,88.0,12.0,88.0,0,2,62.0,False
1613.0,Jamie Allen,1,88.0,8.0,65.0,3,1,62.0,True
1807.0,Taylor Smith,0,88.0,30.0,78.0,1,2,80.0,True
4734.0,Elizabeth Chavez,1,88.0,17.0,88.0,2,1,62.0,True
8237.0,Melissa Morris,1,70.0,17.0,70.0,1,0,72.0,False
9303.0,Donna Hardin,0,78.0,12.0,86.0,1,0,92.0,True
5087.0,Andrew Cook,1,85.0,15.0,88.0,3,2,80.0,False
5396.5,Dr. Richard Wallace,1,92.0,30.0,77.0,3,2,68.0,False
6640.0,Samuel Shaw,1,88.0,20.0,82.0,1,2,80.0,True
4626.0,Mike Waters,1,92.0,18.0,60.0,2,0,80.0,True
1138.0,Andrea Newman,1,88.0,22.0,82.0,2,2,62.0,False
4575.0,Andrea Frey,0,88.0,12.0,86.0,0,1,87.0,True
5631.0,Barry Jenkins,0,90.0,17.0,85.0,1,2,90.0,False
4086.0,Laurie Johnson,1,82.0,25.0,78.0,3,2,90.0,True
9148.0,John Coleman,0,88.0,8.0,60.0,0,1,80.0,True
6622.0,John Carter,1,82.0,17.0,88.0,2,2,68.0,True
5813.0,Mr. Devon Garrett,1,85.0,10.0,82.0,2,0,90.0,False
4659.0,Jill Kelly,0,70.0,30.0,78.0,2,1,85.0,False
1879.0,Richard Gonzalez,1,85.0,25.0,70.0,2,1,62.0,True
3470.0,Alex White,1,92.0,30.0,60.0,3,2,68.0,True
2324.0,Michael Gonzales,0,95.0,10.0,88.0,1,0,78.0,True
3595.0,John Williams,0,90.0,10.0,86.0,1,1,62.0,False
